Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Mar/2022 15:40:04] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:04] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJzZXNzaW9uX2lkIjoxfQ.b2uGzKh1mVyiQglDXvehaIV3oOZv4NEJ2oV1Fxgkloc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:40:05] "POST /auth/register/v2 HTTP/1.1" 200 -
